# number of lines   time (boost)        time (cgal)         vertices (boost)    vertices (cgal)     
10                  0.001446421         0.00163239          48                  48                  
20                  0.013524855         0.011660414         110                 110                 
30                  0.029118841         0.014444256         167                 167                 
40                  0.037396914         0.036233754         229                 229                 
50                  0.081684501         0.060713083         286                 286                 
60                  0.14314747          0.099998158         338                 338                 
70                  0.25333305          0.16726884          400                 400                 
80                  0.41558391          0.34124671          465                 465                 
90                  0.61406764          0.44017702          526                 526                 
100                 0.84081003          0.63141972          582                 582                 
110                 1.1492399           0.88158889          641                 641                 
120                 1.565611            1.2164736           705                 705                 
130                 1.93959             1.5309818           760                 760                 
140                 2.5175282           1.9774245           823                 823                 
150                 3.0585358           2.8047203           881                 881                 
160                 3.7788869           3.0635095           943                 943                 
170                 4.4912423           4.1851524           1002                1002                
180                 5.1616037           4.3908596           1059                1059                
190                 5.9077211           5.0736028           1110                1110                
200                 7.3085266           6.2232723           1186                1186                
210                 8.3125124           7.1905614           1241                1241                
220                 9.5456962           8.2423385           1299                1299                
230                 11.074482           9.5255185           1363                1363                
240                 11.284052           10.842286           1422                1422                
250                 12.834948           12.672508           1480                1480                
260                 15.205526           15.164701           1542                1542                
270                 17.634838           17.527143           1599                1599                
280                 20.715807           23.614794           1664                1664                
290                 23.476495           26.823127           1720                1720                
300                 26.831233           26.622159           1783                1782                
