# number of lines   time (boost)        time (cgal)         vertices (boost)    vertices (cgal)     
10                  0.00097882          0.001230981         45                  45                  
20                  0.006551752         0.005555902         105                 105                 
30                  0.029180632         0.007233472         168                 168                 
40                  0.02561295          0.010469884         227                 227                 
50                  0.05071107          0.019864027         288                 288                 
60                  0.079551631         0.033002732         340                 340                 
70                  0.15486967          0.062683103         407                 407                 
80                  0.2132904           0.16059156          458                 458                 
90                  0.37245571          0.19820066          521                 521                 
100                 0.44817835          0.30025944          582                 582                 
110                 0.68746646          0.58594537          639                 639                 
120                 0.98903481          0.8089926           700                 700                 
130                 1.2950871           0.85649952          761                 761                 
140                 1.59111             1.3683717           816                 816                 
150                 1.9930885           1.4053465           876                 876                 
160                 2.4385605           1.7546356           936                 936                 
170                 3.0255408           2.1739634           1001                1001                
180                 3.4286088           3.1863285           1062                1062                
190                 3.9949354           3.8319525           1121                1121                
200                 4.6417235           4.4222202           1177                1177                
210                 5.4332619           4.2774091           1237                1237                
220                 6.332055            6.0255556           1300                1300                
230                 7.1449412           5.7070981           1357                1357                
240                 8.3204114           6.6212697           1422                1422                
250                 9.5628237           9.4227064           1477                1477                
260                 11.910329           11.957617           1542                1542                
270                 14.237595           14.175186           1599                1599                
280                 17.176772           17.254749           1665                1665                
290                 19.730692           19.776211           1716                1716                
300                 23.037756           22.573698           1778                1778                
